label,category,text
scam,government_impersonation,"You are being investigated for a crime under the anti money laundering act. Cooperate now by transferring the funds for verification, or a warrant of arrest will be served tonight."
scam,tech_support,"Our system shows your account has been compromised by a hacker in another country. Install TeamViewer and give me the verification code so I can secure your device."
scam,prize_lottery,"Congratulations you have won a cash prize from our telco raffle. Claim it right now by sending the tax refund fee, otherwise the prize goes to the next lucky winner."
scam,investment,"I can guarantee a return of five percent every week with no risk. Just send the initial capital through crypto wallet today, and keep this confidential because slots are limited."
scam,bank_impersonation,"Ma'am, this is the bank security department. There is a suspicious transaction of thirty thousand pesos. Do not hang up. Give me the code so I can stop the transfer immediately."
scam,delivery_parcel,"Your package is being held. Click the link I sent, log in with your online banking password, and pay the small clearance fee to release it today."
scam,government_impersonation,"This is an officer from the national bureau of investigation. Your bank account is linked to a drug case. Keep this confidential and transfer the funds to our holding account for verification."
scam,tech_support,"Your antivirus subscription auto renewed for eighteen thousand pesos. To cancel and get a refund, install this app so I can process the reversal on your online banking."
scam,job_offer,"Congratulations you are hired for the encoder position. Send the advance payment for your ID and uniform today, and do not tell anyone because we only have three slots left."
scam,family_emergency,"Your daughter is with us. She is safe but you must stay on the line and do not tell anyone. Send money now through the remittance center and she will be released."
scam,loan_offer,"This is a one time offer for a cash loan with zero interest. No documents needed. We only require the clearance fee before releasing the money today."
scam,investment,"Our fund has never lost money in ten years, it is guaranteed return with no risk. Send the deposit before the market closes, this is the last chance to join at this rate."
scam,bank_impersonation,"Sir, I am from the fraud department. To verify you are the account holder, please provide your card number, the expiry date, and the CVV at the back."
scam,prize_lottery,"You are our lucky winner today. Keep this confidential and do not tell your family until we release the cash prize. Just settle the release fee first."
scam,tech_support,"Hello sir, this is windows support. Your computer is sending error reports to our server. Give me remote access now before the hackers empty your bank account."
scam,delivery_parcel,"Ma'am your parcel from abroad is stuck in customs and legal action may follow. Pay the clearance fee immediately through GCash and do not tell anyone about this."
scam,government_impersonation,"Your TIN has been used to open fake companies. Bilisan mo, cooperate now and transfer the funds to the safe account or your assets will be frozen today."
scam,bank_impersonation,"We are updating our system and all accounts must be reverified within the next 10 minutes. Please confirm your account number, your PIN, and the one time password."
scam,investment,"Double your money in ninety days with our gold trading program. It is completely no risk and it is guaranteed return. Send the advance payment today only."
scam,job_offer,"You have been selected for an overseas job with a very high salary. Send the processing fee for the visa now, and do not tell anyone because the agency has limited slots."
scam,tech_support,"Do not hang up sir. Your online banking is being accessed right now. Read me the verification code so I can lock the hacker out immediately."
scam,family_emergency,"Tita, ako ito, nasa ospital ako. Huwag mong sabihin sa iba. Send money now, bilisan mo please, kailangan ko na ngayon."
scam,prize_lottery,"Congratulations you won in our promo raffle. To claim, buy a Google Play card worth two thousand pesos and read me the code at the back."
scam,bank_impersonation,"Your account has been compromised. For safety we will transfer your balance to a holding account. Stay on the line and do not tell anyone at the bank, this is a confidential investigation."
scam,delivery_parcel,"This is the courier. Your delivery failed because of an unpaid fee. Send the amount now through GCash, this expires today, otherwise the item is returned to sender."
legit,bank_notice,"Good afternoon, this is a courtesy call from your bank regarding a recent transaction on your card. If you did not authorize it, please call us back at the number printed at the back of your card. We will never ask for your OTP or PIN."
legit,bank_notice,"Hello, we are calling to confirm that your new card has been delivered to your branch. You may claim it at your convenience with a valid ID. No action is needed over the phone."
legit,bank_notice,"This is a reminder that your credit card statement is now available in the mobile app. There is nothing to confirm on this call, and we will never ask for your password."
legit,bank_notice,"Good day, your loan application has been received. Our officer will email you the requirements. Take your time reviewing them, and please visit our branch if you have questions."
legit,bank_notice,"We are calling about your scheduled payment due next week. You can pay through the app, any branch, or over the counter. This call is recorded for quality purposes."
legit,appointment,"Hi, I am calling from the clinic to confirm your appointment with Doctor Reyes on Thursday at two in the afternoon. Please reply if you need to reschedule."
legit,appointment,"Good morning, this is the dental clinic. Your cleaning appointment is set for Saturday at ten. Kindly arrive fifteen minutes early to fill out the form."
legit,appointment,"Hello, we are confirming your car service appointment tomorrow at nine. Please bring your service booklet. Your reference number for your records is on the SMS we sent."
legit,delivery,"Hello, I am the rider for your order. Your delivery is scheduled between two and four this afternoon. Please let me know if the gate is open."
legit,delivery,"Good day, your package has arrived at the local branch. You may pick it up any time this week with a valid ID. There is no fee to collect it."
legit,delivery,"Hi ma'am, I am outside your building with your parcel. Cash on delivery is one thousand two hundred pesos, and I will issue the official receipt."
legit,customer_service,"Thank you for being a customer. We are calling to ask if you were satisfied with the repair service last week. This will only take two minutes."
legit,customer_service,"Hello, this is your internet provider. There is a scheduled maintenance in your area on Sunday from one to five in the morning. No action is needed on your end."
legit,customer_service,"Good afternoon, we received your ticket about the slow connection. A technician is assigned for tomorrow between ten and twelve. Your reference number for your records is in the email."
legit,customer_service,"Hi, we are following up on the item you returned. The refund has been processed to your original payment method and should reflect in three to five banking days."
legit,work,"Hi, this is Marco from the office. Can we move the meeting to three in the afternoon? I will send the updated calendar invite after this call."
legit,work,"Hello, I am calling about the invoice we sent last week. Our accounting team will email you the statement of account. Take your time, the terms are thirty days."
legit,work,"Good morning, this is the supplier. The delivery of the materials will arrive on Wednesday. Please have someone available to sign the receiving copy."
legit,work,"Hi, I am confirming the interview schedule for the applicant on Monday at eleven. We do not charge any fee to applicants at any stage."
legit,family,"Hey, it is me. I am on my way home, traffic is heavy. Do you want me to buy anything from the grocery before I get there?"
legit,family,"Hello Ma, I arrived safely at the dorm. Classes start at eight tomorrow. I will call you again on Sunday."
legit,family,"Hi Tita, we are already at the venue. The program starts at six so just come whenever you are ready, no rush."
legit,school,"Good morning, this is the school registrar. We are reminding parents that the enrollment period ends on Friday. You may settle the fees at the cashier or through the official portal."
legit,school,"Hello, this is the guidance office. We would like to schedule a short meeting with you next week about your child's progress. Please let us know a convenient time."
legit,government_service,"Good day, this is the barangay office. Your clearance is ready for pickup. Please bring a valid ID during office hours."
legit,government_service,"Hello, we are calling from the city health office regarding your vaccination schedule. There is no payment required. You may proceed to the center any weekday."
legit,government_service,"This is a reminder from the local government about the community meeting this Saturday at the covered court. Attendance is voluntary."
legit,insurance,"Good afternoon, we are calling regarding your policy renewal next month. Our agent will send the details by email. Take your time to review before deciding."
legit,insurance,"Hello, your claim has been approved. The check will be mailed to your registered address. Please call us back at your convenience if it does not arrive in ten days."
legit,telco,"Hi, this is your mobile provider. Your plan is due for renewal next month. You can review the options in the app. We will never ask for your OTP or password."
legit,telco,"Good day, we noticed your data usage is near the limit. You may upgrade any time through the app. No action is needed if you prefer to keep your current plan."
legit,utility,"Hello, this is the water district. There will be an interruption in your area tomorrow from eight to noon for pipe repair. Please store water in advance."
legit,utility,"Good morning, this is the electric cooperative. Your meter reading is scheduled on the fifteenth. Kindly keep the gate accessible for our reader."
legit,retail,"Hi, the item you reserved is now available in store. We will hold it for three days under your name. There is no need to pay anything in advance."
legit,retail,"Hello, thank you for being a customer. Your loyalty points will expire at the end of the quarter and can be used on your next purchase in store."
legit,bank_notice,"Good day, we are informing you that your time deposit will mature next week. You may renew or withdraw at your branch. We will never ask for your OTP over the phone."
legit,bank_notice,"Hello, this is a reminder that your card will expire this month. Your replacement is already at the branch. You can call the number at the back of your card to verify this call."
legit,customer_service,"Hi, we are calling to confirm the address for your warranty repair. A courier will pick up the unit on Tuesday. There is no charge for the pickup."
legit,work,"Good afternoon, this is HR. Your certificate of employment is ready. You may pick it up at the office or we can email a signed copy."
legit,appointment,"Hello, this is the veterinary clinic. Your pet's vaccination is due this month. You may come in any day this week, no appointment needed."
legit,delivery,"Hi sir, I am your rider. I am at the lobby with your food order. Please come down when you are ready, the guard will not let me go up."
legit,family,"Hello, we are just checking if you got home safely. Call us when you can, no rush. Take your time."
legit,school,"Good morning, classes are suspended tomorrow due to the weather. Please stay safe. Updates will be posted on the official page."
legit,telco,"Hello, this is a courtesy call about the new fiber plan available in your area. If you are not interested, simply say so and we will not call again."
legit,bank_notice,"Good afternoon, we are verifying a purchase you may have made at a hardware store this morning. If it was you, no action is needed. Please do not share any code with anyone including us."
legit,insurance,"Hi, we are following up on the documents for your claim. You can email them at your convenience. There is no deadline pressure and no fee to process it."
legit,government_service,"Good day, your passport is ready for release. Please bring the claim stub and a valid ID. There is no additional payment at the counter."
legit,retail,"Hello, we are calling about the sofa you ordered. Delivery is scheduled next Monday between one and five. Please confirm if someone will be home."
legit,customer_service,"Good morning, your subscription renews next month at the same rate. If you prefer to cancel you can do it in the app any time before the renewal date."
legit,work,"Hi, this is the accounting department. We received your reimbursement request. It will be included in the next payroll cycle. No further documents are needed."
legit,utility,"Hello, we received your report about the streetlight. A crew is scheduled to inspect it this week. Thank you for reporting it."
legit,appointment,"Good afternoon, this is the salon confirming your booking on Saturday at four. Please let us know if you need to move it, there is no cancellation fee."
legit,family,"Hey, I am at the market. Do you need anything else besides the vegetables? I will be home in about an hour."
legit,bank_notice,"Hello, we are calling to let you know that your dispute has been resolved in your favor. The amount has been credited back. Your reference number for your records will be emailed to you."
